causa_acidente,total_ocorrencias
Ausência de reação do condutor,11469
Reação tardia ou ineficiente do condutor,10799
Acessar a via sem observar a presença dos outros veículos,7097
Condutor deixou de manter distância do veículo da frente,4413
Velocidade Incompatível,4088
Manobra de mudança de faixa,4016
Ingestão de álcool pelo condutor,3685
Demais falhas mecânicas ou elétricas,3385
Transitar na contramão,2475
Condutor Dormindo,2116
Ultrapassagem Indevida,1770
Trafegar com motocicleta (ou similar) entre as faixas,1325
Animais na Pista,1305
Desrespeitar a preferência no cruzamento,1259
Avarias e/ou desgaste excessivo no pneu,1176
Chuva,1020
Conversão proibida,1018
Acesso irregular,768
Entrada inopinada do pedestre,667
Pedestre andava na pista,606
Mal súbito do condutor,546
Pista Escorregadia,545
Pedestre cruzava a pista fora da faixa,525
Transitar no Acostamento,498
Acumulo de água sobre o pavimento,477
Objeto estático sobre o leito carroçável,412
Frear bruscamente,358
Retorno proibido,325
Acumulo de areia ou detritos sobre o pavimento,308
Demais falhas na via,275
Condutor desrespeitou a iluminação vermelha do semáforo,268
Carga excessiva e/ou mal acondicionada,256
Problema com o freio,247
Pista esburacada,232
Acumulo de óleo sobre o pavimento,228
Afundamento ou ondulação no pavimento,206
Curva acentuada,203
Suicídio (presumido),190
Condutor usando celular,189
Estacionar ou parar em local proibido,182
Ausência de sinalização,178
Acostamento em desnível,167
Deficiência do Sistema de Iluminação/Sinalização,165
Iluminação deficiente,157
Pedestre - Ingestão de álcool/ substâncias psicoativas,150
Demais Fenômenos da natureza,84
Área urbana sem a presença de local apropriado para a travessia de pedestres,81
Ingestão de substâncias psicoativas pelo condutor,62
Sinalização mal posicionada,61
Falta de acostamento,60
Transtornos Mentais (exceto suicidio),59
Falta de elemento de contenção que evite a saída do leito carroçável,59
Neblina,50
Desvio temporário,45
Problema na suspensão,38
Fumaça,31
Restrição de visibilidade em curvas horizontais,23
Participar de racha,22
Declive acentuado,19
Deixar de acionar o farol da motocicleta (ou similar),15
Restrição de visibilidade em curvas verticais,13
Faixas de trânsito com largura insuficiente,12
Modificação proibida,11
Transitar na calçada,11
Faróis desregulados,9
Semáforo com defeito,8
Redutor de velocidade em desacordo,8
Sistema de drenagem ineficiente,2
Sinalização encoberta,2
