Condição Meteorológica,0,1,2,3,4,5,6,7,9,10,11,16,Total de Acidentes
Total de Acidentes,67319,4632,434,93,28,13,3,2,2,1,1,1,72529
Céu Claro,42956,3057,276,49,22,9,1,1,1,1,1,1,46375
Nublado,10605,743,62,19,2,2,1,1,0,0,0,0,11435
Chuva,6036,342,44,14,2,0,0,0,0,0,0,0,6438
Sol,3954,219,22,4,0,1,1,0,0,0,0,0,4201
Garoa/Chuvisco,2278,126,13,3,0,1,0,0,1,0,0,0,2422
Ignorado,901,87,9,2,1,0,0,0,0,0,0,0,1000
Nevoeiro/Neblina,493,50,7,2,1,0,0,0,0,0,0,0,553
Vento,95,8,1,0,0,0,0,0,0,0,0,0,104
Neve,1,0,0,0,0,0,0,0,0,0,0,0,1
